Pais;Bandeira;Wikipedia;População
Tailândia;https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_Thailand.svg/22px-Flag_of_Thailand.svg.png;https://wikipedia.org//wiki/Tail%C3%A2ndia;69799978
Reino Unido;https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Flag_of_the_United_Kingdom.svg/22px-Flag_of_the_United_Kingdom.svg.png;https://wikipedia.org//wiki/Reino_Unido;67886011
França;https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Flag_of_France.svg/22px-Flag_of_France.svg.png;https://wikipedia.org//wiki/Fran%C3%A7a;65273511
Itália;https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Flag_of_Italy.svg/22px-Flag_of_Italy.svg.png;https://wikipedia.org//wiki/It%C3%A1lia;60461826
Tanzânia;https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Flag_of_Tanzania.svg/22px-Flag_of_Tanzania.svg.png;https://wikipedia.org//wiki/Tanz%C3%A2nia;59734218
África do Sul;https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Flag_of_South_Africa.svg/22px-Flag_of_South_Africa.svg.png;https://wikipedia.org//wiki/%C3%81frica_do_Sul;59308690
Myanmar;https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Flag_of_Myanmar.svg/22px-Flag_of_Myanmar.svg.png;https://wikipedia.org//wiki/Myanmar;54409800
Quénia;https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Kenya.svg/22px-Flag_of_Kenya.svg.png;https://wikipedia.org//wiki/Qu%C3%A9nia;53771296
Coreia do Sul;https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Flag_of_South_Korea.svg/22px-Flag_of_South_Korea.svg.png;https://wikipedia.org//wiki/Coreia_do_Sul;51269185
Colômbia;https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Flag_of_Colombia.svg/22px-Flag_of_Colombia.svg.png;https://wikipedia.org//wiki/Col%C3%B4mbia;50882891
Espanha;https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Spain.svg/22px-Flag_of_Spain.svg.png;https://wikipedia.org//wiki/Espanha;46754778
Uganda;https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Flag_of_Uganda.svg/22px-Flag_of_Uganda.svg.png;https://wikipedia.org//wiki/Uganda;45741007
Argentina;https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_Argentina.svg/22px-Flag_of_Argentina.svg.png;https://wikipedia.org//wiki/Argentina;45195774
Argélia;https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Flag_of_Algeria.svg/22px-Flag_of_Algeria.svg.png;https://wikipedia.org//wiki/Arg%C3%A9lia;43851044
Sudão;https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Flag_of_Sudan.svg/22px-Flag_of_Sudan.svg.png;https://wikipedia.org//wiki/Sud%C3%A3o;43849260
Ucrânia;https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Ukraine.svg/22px-Flag_of_Ukraine.svg.png;https://wikipedia.org//wiki/Ucr%C3%A2nia;43733762
Iraque;https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Iraq.svg/22px-Flag_of_Iraq.svg.png;https://wikipedia.org//wiki/Iraque;40222493
Afeganistão;https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Afghanistan.svg/22px-Flag_of_Afghanistan.svg.png;https://wikipedia.org//wiki/Afeganist%C3%A3o;38928346
Polónia;https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Flag_of_Poland.svg/22px-Flag_of_Poland.svg.png;https://wikipedia.org//wiki/Pol%C3%B3nia;37846611
Canadá;https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Flag_of_Canada_%28Pantone%29.svg/22px-Flag_of_Canada_%28Pantone%29.svg.png;https://wikipedia.org//wiki/Canad%C3%A1;37742154
Marrocos;https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Flag_of_Morocco.svg/22px-Flag_of_Morocco.svg.png;https://wikipedia.org//wiki/Marrocos;36910560
Arábia Saudita;https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Flag_of_Saudi_Arabia.svg/22px-Flag_of_Saudi_Arabia.svg.png;https://wikipedia.org//wiki/Ar%C3%A1bia_Saudita;34813871
Uzbequistão;https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Flag_of_Uzbekistan.svg/22px-Flag_of_Uzbekistan.svg.png;https://wikipedia.org//wiki/Uzbequist%C3%A3o;33469203
Peru;https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Flag_of_Peru.svg/22px-Flag_of_Peru.svg.png;https://wikipedia.org//wiki/Peru;32971854
Angola;https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Flag_of_Angola.svg/22px-Flag_of_Angola.svg.png;https://wikipedia.org//wiki/Angola;32866272
Malásia;https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Flag_of_Malaysia.svg/22px-Flag_of_Malaysia.svg.png;https://wikipedia.org//wiki/Mal%C3%A1sia;32365999
Moçambique;https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Flag_of_Mozambique.svg/22px-Flag_of_Mozambique.svg.png;https://wikipedia.org//wiki/Mo%C3%A7ambique;31255435
Gana;https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Flag_of_Ghana.svg/22px-Flag_of_Ghana.svg.png;https://wikipedia.org//wiki/Gana;31072940
Iémen;https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Flag_of_Yemen.svg/22px-Flag_of_Yemen.svg.png;https://wikipedia.org//wiki/I%C3%A9men;29825968
Nepal;https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Flag_of_Nepal.svg/16px-Flag_of_Nepal.svg.png;https://wikipedia.org//wiki/Nepal;29136808
Venezuela;https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Flag_of_Venezuela.svg/22px-Flag_of_Venezuela.svg.png;https://wikipedia.org//wiki/Venezuela;28435940
Madagascar;https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_Madagascar.svg/22px-Flag_of_Madagascar.svg.png;https://wikipedia.org//wiki/Madagascar;27691018
Camarões;https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Flag_of_Cameroon.svg/22px-Flag_of_Cameroon.svg.png;https://wikipedia.org//wiki/Camar%C3%B5es;26545864
Costa do Marfim;https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_C%C3%B4te_d%27Ivoire.svg/22px-Flag_of_C%C3%B4te_d%27Ivoire.svg.png;https://wikipedia.org//wiki/Costa_do_Marfim;26378274
Coreia do Norte;https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Flag_of_North_Korea.svg/22px-Flag_of_North_Korea.svg.png;https://wikipedia.org//wiki/Coreia_do_Norte;25778816
Austrália;https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Flag_of_Australia.svg/22px-Flag_of_Australia.svg.png;https://wikipedia.org//wiki/Austr%C3%A1lia;25499884
Níger;https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Flag_of_Niger.svg/22px-Flag_of_Niger.svg.png;https://wikipedia.org//wiki/N%C3%ADger;24206644
Taiwan;https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Flag_of_the_Republic_of_China.svg/22px-Flag_of_the_Republic_of_China.svg.png;https://wikipedia.org//wiki/Taiwan;23816775
Sri Lanka;https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Flag_of_Sri_Lanka.svg/22px-Flag_of_Sri_Lanka.svg.png;https://wikipedia.org//wiki/Sri_Lanka;21413249
Burquina Fasso;https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Flag_of_Burkina_Faso.svg/22px-Flag_of_Burkina_Faso.svg.png;https://wikipedia.org//wiki/Burquina_Fasso;20903273
Mali;https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_Mali.svg/22px-Flag_of_Mali.svg.png;https://wikipedia.org//wiki/Mali;20250833
Roménia;https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Flag_of_Romania.svg/22px-Flag_of_Romania.svg.png;https://wikipedia.org//wiki/Rom%C3%A9nia;19237691
Malawi;https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Flag_of_Malawi.svg/22px-Flag_of_Malawi.svg.png;https://wikipedia.org//wiki/Malawi;19129952
Chile;https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Flag_of_Chile.svg/22px-Flag_of_Chile.svg.png;https://wikipedia.org//wiki/Chile;19116201
Cazaquistão;https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Flag_of_Kazakhstan.svg/22px-Flag_of_Kazakhstan.svg.png;https://wikipedia.org//wiki/Cazaquist%C3%A3o;18776707
Zâmbia;https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Flag_of_Zambia.svg/22px-Flag_of_Zambia.svg.png;https://wikipedia.org//wiki/Z%C3%A2mbia;18383955
Guatemala;https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Flag_of_Guatemala.svg/22px-Flag_of_Guatemala.svg.png;https://wikipedia.org//wiki/Guatemala;17915568
Equador;https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Flag_of_Ecuador.svg/22px-Flag_of_Ecuador.svg.png;https://wikipedia.org//wiki/Equador;17643054
Síria;https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Flag_of_Syria.svg/22px-Flag_of_Syria.svg.png;https://wikipedia.org//wiki/S%C3%ADria;17500657
Países Baixos;https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Flag_of_the_Netherlands.svg/22px-Flag_of_the_Netherlands.svg.png;https://wikipedia.org//wiki/Pa%C3%ADses_Baixos;17134872
Senegal;https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Flag_of_Senegal.svg/22px-Flag_of_Senegal.svg.png;https://wikipedia.org//wiki/Senegal;16743927
Camboja;https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Flag_of_Cambodia.svg/22px-Flag_of_Cambodia.svg.png;https://wikipedia.org//wiki/Camboja;16718965
Chade;https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Flag_of_Chad.svg/22px-Flag_of_Chad.svg.png;https://wikipedia.org//wiki/Chade;16425864
Somália;https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Flag_of_Somalia.svg/22px-Flag_of_Somalia.svg.png;https://wikipedia.org//wiki/Som%C3%A1lia;15893222
Zimbabwe;https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Flag_of_Zimbabwe.svg/22px-Flag_of_Zimbabwe.svg.png;https://wikipedia.org//wiki/Zimbabwe;14862924
Guiné;https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Flag_of_Guinea.svg/22px-Flag_of_Guinea.svg.png;https://wikipedia.org//wiki/Guin%C3%A9;13132795
Ruanda;https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Flag_of_Rwanda.svg/22px-Flag_of_Rwanda.svg.png;https://wikipedia.org//wiki/Ruanda;12952218
Benim;https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Flag_of_Benin.svg/22px-Flag_of_Benin.svg.png;https://wikipedia.org//wiki/Benim;12123000
Burundi;https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Flag_of_Burundi.svg/22px-Flag_of_Burundi.svg.png;https://wikipedia.org//wiki/Burundi;11890784
Tunísia;https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Flag_of_Tunisia.svg/22px-Flag_of_Tunisia.svg.png;https://wikipedia.org//wiki/Tun%C3%ADsia;11818619
Bolívia;https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Flag_of_Bolivia.svg/22px-Flag_of_Bolivia.svg.png;https://wikipedia.org//wiki/Bol%C3%ADvia;11673021
Bélgica;https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_Belgium_%28civil%29.svg/22px-Flag_of_Belgium_%28civil%29.svg.png;https://wikipedia.org//wiki/B%C3%A9lgica;11589623
Haiti;https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Flag_of_Haiti.svg/22px-Flag_of_Haiti.svg.png;https://wikipedia.org//wiki/Haiti;11402528
Cuba;https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Flag_of_Cuba.svg/22px-Flag_of_Cuba.svg.png;https://wikipedia.org//wiki/Cuba;11326616
Sudão do Sul;https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Flag_of_South_Sudan.svg/22px-Flag_of_South_Sudan.svg.png;https://wikipedia.org//wiki/Sud%C3%A3o_do_Sul;11193725
República Dominicana;https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Flag_of_the_Dominican_Republic.svg/22px-Flag_of_the_Dominican_Republic.svg.png;https://wikipedia.org//wiki/Rep%C3%BAblica_Dominicana;10847910
Chéquia;https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Flag_of_the_Czech_Republic.svg/22px-Flag_of_the_Czech_Republic.svg.png;https://wikipedia.org//wiki/Ch%C3%A9quia;10708981
Grécia;https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Flag_of_Greece.svg/22px-Flag_of_Greece.svg.png;https://wikipedia.org//wiki/Gr%C3%A9cia;10423054
Jordânia;https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Flag_of_Jordan.svg/22px-Flag_of_Jordan.svg.png;https://wikipedia.org//wiki/Jord%C3%A2nia;10203134
Portugal;https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Flag_of_Portugal.svg/22px-Flag_of_Portugal.svg.png;https://wikipedia.org//wiki/Portugal;10196709
Azerbaijão;https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Flag_of_Azerbaijan.svg/22px-Flag_of_Azerbaijan.svg.png;https://wikipedia.org//wiki/Azerbaij%C3%A3o;10139177
Suécia;https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Flag_of_Sweden.svg/22px-Flag_of_Sweden.svg.png;https://wikipedia.org//wiki/Su%C3%A9cia;10099265
Honduras;https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Flag_of_Honduras_%282008_Olympics%29.svg/22px-Flag_of_Honduras_%282008_Olympics%29.svg.png;https://wikipedia.org//wiki/Honduras;9904607
Emirados Árabes Unidos;https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Flag_of_the_United_Arab_Emirates.svg/22px-Flag_of_the_United_Arab_Emirates.svg.png;https://wikipedia.org//wiki/Emirados_%C3%81rabes_Unidos;9890402
Hungria;https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Flag_of_Hungary.svg/22px-Flag_of_Hungary.svg.png;https://wikipedia.org//wiki/Hungria;9660351
Tajiquistão;https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Flag_of_Tajikistan.svg/22px-Flag_of_Tajikistan.svg.png;https://wikipedia.org//wiki/Tajiquist%C3%A3o;9537645
Bielorrússia;https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Flag_of_Belarus.svg/22px-Flag_of_Belarus.svg.png;https://wikipedia.org//wiki/Bielorr%C3%BAssia;9449323
Áustria;https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Flag_of_Austria.svg/22px-Flag_of_Austria.svg.png;https://wikipedia.org//wiki/%C3%81ustria;9006398
Papua-Nova Guiné;https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Flag_of_Papua_New_Guinea.svg/22px-Flag_of_Papua_New_Guinea.svg.png;https://wikipedia.org//wiki/Papua-Nova_Guin%C3%A9;8947024
Israel;https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Flag_of_Israel.svg/22px-Flag_of_Israel.svg.png;https://wikipedia.org//wiki/Israel;8655535
Suíça;https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Flag_of_Switzerland.svg/16px-Flag_of_Switzerland.svg.png;https://wikipedia.org//wiki/Su%C3%AD%C3%A7a;8654622
Togo;https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Flag_of_Togo.svg/22px-Flag_of_Togo.svg.png;https://wikipedia.org//wiki/Togo;8278724
Serra Leoa;https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Flag_of_Sierra_Leone.svg/22px-Flag_of_Sierra_Leone.svg.png;https://wikipedia.org//wiki/Serra_Leoa;7976983
Hong Kong (China);https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Flag_of_Hong_Kong.svg/22px-Flag_of_Hong_Kong.svg.png;https://wikipedia.org//wiki/Hong_Kong;7496981
Laos;https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Flag_of_Laos.svg/22px-Flag_of_Laos.svg.png;https://wikipedia.org//wiki/Laos;7275560
Paraguai;https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Flag_of_Paraguay.svg/22px-Flag_of_Paraguay.svg.png;https://wikipedia.org//wiki/Paraguai;7132538
Bulgária;https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Bulgaria.svg/22px-Flag_of_Bulgaria.svg.png;https://wikipedia.org//wiki/Bulg%C3%A1ria;6948445
Sérvia;https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Flag_of_Serbia.svg/22px-Flag_of_Serbia.svg.png;https://wikipedia.org//wiki/S%C3%A9rvia;6926705
Líbia;https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Flag_of_Libya.svg/22px-Flag_of_Libya.svg.png;https://wikipedia.org//wiki/L%C3%ADbia;6871292
Líbano;https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Flag_of_Lebanon.svg/22px-Flag_of_Lebanon.svg.png;https://wikipedia.org//wiki/L%C3%ADbano;6825445
Nicarágua;https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Flag_of_Nicaragua.svg/22px-Flag_of_Nicaragua.svg.png;https://wikipedia.org//wiki/Nicar%C3%A1gua;6624554
Quirguistão;https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Flag_of_Kyrgyzstan.svg/22px-Flag_of_Kyrgyzstan.svg.png;https://wikipedia.org//wiki/Quirguist%C3%A3o;6524195
El Salvador;https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Flag_of_El_Salvador.svg/22px-Flag_of_El_Salvador.svg.png;https://wikipedia.org//wiki/El_Salvador;6486205
Turquemenistão;https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Flag_of_Turkmenistan.svg/22px-Flag_of_Turkmenistan.svg.png;https://wikipedia.org//wiki/Turquemenist%C3%A3o;6031200
Singapura;https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Flag_of_Singapore.svg/22px-Flag_of_Singapore.svg.png;https://wikipedia.org//wiki/Singapura;5850342
Dinamarca;https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Flag_of_Denmark.svg/22px-Flag_of_Denmark.svg.png;https://wikipedia.org//wiki/Dinamarca;5792202
Finlândia;https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_Finland.svg/22px-Flag_of_Finland.svg.png;https://wikipedia.org//wiki/Finl%C3%A2ndia;5540720
Congo;https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_the_Republic_of_the_Congo.svg/22px-Flag_of_the_Republic_of_the_Congo.svg.png;https://wikipedia.org//wiki/Rep%C3%BAblica_do_Congo;5518087
Eslováquia;https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Flag_of_Slovakia.svg/22px-Flag_of_Slovakia.svg.png;https://wikipedia.org//wiki/Eslov%C3%A1quia;5459642
Noruega;https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Flag_of_Norway.svg/22px-Flag_of_Norway.svg.png;https://wikipedia.org//wiki/Noruega;5421241
Oman;https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Flag_of_Oman.svg/22px-Flag_of_Oman.svg.png;https://wikipedia.org//wiki/Oman;5106626
Palestina;https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Flag_of_Palestine.svg/22px-Flag_of_Palestine.svg.png;https://wikipedia.org//wiki/Territ%C3%B3rios_palestinos;5101414
Costa Rica;https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Flag_of_Costa_Rica.svg/22px-Flag_of_Costa_Rica.svg.png;https://wikipedia.org//wiki/Costa_Rica;5094118
Libéria;https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Flag_of_Liberia.svg/22px-Flag_of_Liberia.svg.png;https://wikipedia.org//wiki/Lib%C3%A9ria;5057681
Irlanda;https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Flag_of_Ireland.svg/22px-Flag_of_Ireland.svg.png;https://wikipedia.org//wiki/Rep%C3%BAblica_da_Irlanda;4937786
República Centro-Africana;https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Flag_of_the_Central_African_Republic.svg/22px-Flag_of_the_Central_African_Republic.svg.png;https://wikipedia.org//wiki/Rep%C3%BAblica_Centro-Africana;4829767
Nova Zelândia;https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Flag_of_New_Zealand.svg/22px-Flag_of_New_Zealand.svg.png;https://wikipedia.org//wiki/Nova_Zel%C3%A2ndia;4822233
Mauritânia;https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Flag_of_Mauritania.svg/22px-Flag_of_Mauritania.svg.png;https://wikipedia.org//wiki/Maurit%C3%A2nia;4649658
Panamá;https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Flag_of_Panama.svg/22px-Flag_of_Panama.svg.png;https://wikipedia.org//wiki/Panam%C3%A1;4314767
Kuwait;https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Flag_of_Kuwait.svg/22px-Flag_of_Kuwait.svg.png;https://wikipedia.org//wiki/Kuwait;4270571
Croácia;https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Flag_of_Croatia.svg/22px-Flag_of_Croatia.svg.png;https://wikipedia.org//wiki/Cro%C3%A1cia;4105267
Geórgia;https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Flag_of_Georgia.svg/22px-Flag_of_Georgia.svg.png;https://wikipedia.org//wiki/Ge%C3%B3rgia;3989167
Eritreia;https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Flag_of_Eritrea.svg/22px-Flag_of_Eritrea.svg.png;https://wikipedia.org//wiki/Eritreia;3546421
Uruguai;https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_Uruguay.svg/22px-Flag_of_Uruguay.svg.png;https://wikipedia.org//wiki/Uruguai;3473730
Bósnia e Herzegovina;https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Flag_of_Bosnia_and_Herzegovina.svg/22px-Flag_of_Bosnia_and_Herzegovina.svg.png;https://wikipedia.org//wiki/B%C3%B3snia_e_Herzegovina;3280819
Mongólia;https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Flag_of_Mongolia.svg/22px-Flag_of_Mongolia.svg.png;https://wikipedia.org//wiki/Mong%C3%B3lia;3278290
Arménia;https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Flag_of_Armenia.svg/22px-Flag_of_Armenia.svg.png;https://wikipedia.org//wiki/Arm%C3%A9nia;2963243
Jamaica;https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Flag_of_Jamaica.svg/22px-Flag_of_Jamaica.svg.png;https://wikipedia.org//wiki/Jamaica;2961167
Catar;https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Flag_of_Qatar.svg/22px-Flag_of_Qatar.svg.png;https://wikipedia.org//wiki/Catar;2881053
Albânia;https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Flag_of_Albania.svg/22px-Flag_of_Albania.svg.png;https://wikipedia.org//wiki/Alb%C3%A2nia;2877797
